City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Nassau,US,40.7507,-73.5829,45.45,76,100,9.22,moderate rain
302,Taihe,CN,30.8712,105.3845,60.78,71,100,10.11,overcast clouds
303,Saint-Louis,SN,16.3333,-15.0,92.84,16,10,18.45,clear sky
304,Talara,PE,-4.5772,-81.2719,84.96,51,0,18.41,clear sky
305,Agadez,NE,19.75,10.25,94.84,4,22,5.95,few clouds
306,Olafsvik,IS,64.8945,-23.7142,40.84,89,100,8.37,overcast clouds
307,Antalaha,MG,-14.9003,50.2788,77.34,83,45,10.16,scattered clouds
308,Novopokrovka,UA,49.8425,36.5477,39.29,94,100,9.91,overcast clouds
309,Shagonar,RU,51.5333,92.8,36.5,82,100,0.45,overcast clouds
310,Arica,CL,-18.475,-70.3042,76.55,56,0,12.66,clear sky
311,Huilong,CN,31.8111,121.655,48.92,69,0,6.15,clear sky
312,Ostrovnoy,RU,68.0531,39.5131,18.0,89,100,9.46,overcast clouds
313,Le Havre,FR,49.4938,0.1077,46.15,57,100,9.22,overcast clouds
314,Fukue,JP,32.6881,128.8419,55.02,58,0,18.1,clear sky
315,Denpasar,ID,-8.65,115.2167,80.26,88,20,1.14,few clouds
316,Umm Lajj,SA,25.0213,37.2685,81.16,45,100,7.74,overcast clouds
317,Saint George,US,37.1041,-113.5841,68.79,25,40,4.61,scattered clouds
318,Tremembe,BR,-22.9583,-45.5494,82.27,61,40,10.36,scattered clouds
319,Victoria,HK,22.2855,114.1577,66.38,71,0,15.01,clear sky
320,Aljezur,PT,37.3191,-8.8033,61.43,31,100,12.01,overcast clouds
321,Santa Ana Huista,GT,15.6833,-91.8167,90.07,28,11,6.31,few clouds
322,Ghanzi,BW,-21.5667,21.7833,71.49,68,100,5.1,overcast clouds
323,Hasaki,JP,35.7333,140.8333,48.6,63,100,19.08,light rain
324,Kloulklubed,PW,7.0419,134.2556,82.24,78,100,4.72,moderate rain
325,Matara,LK,5.9485,80.5353,78.15,84,7,2.68,clear sky
326,Kailua,US,21.4022,-157.7394,75.18,74,92,8.01,overcast clouds
327,Victor Harbor,AU,-35.5667,138.6167,57.49,88,11,4.34,few clouds
328,Caravelas,BR,-17.7125,-39.2481,84.67,59,7,8.23,clear sky
329,Turayf,SA,31.6725,38.6637,84.45,10,0,4.61,clear sky
330,Bezenchuk,RU,52.982,49.4333,52.12,77,65,12.55,broken clouds
331,Komsomolskiy,UZ,40.4272,71.7189,63.32,51,20,6.91,few clouds
332,Saint-Leu,RE,-21.15,55.2833,74.26,77,88,2.21,light rain
333,Portobelo,PA,9.55,-79.65,90.95,78,64,9.24,broken clouds
334,Manoel Urbano,BR,-8.8389,-69.2597,88.92,48,32,0.72,scattered clouds
335,Alim,PH,9.5649,122.4876,78.55,82,53,5.68,broken clouds
336,Mabaruma,GY,8.2,-59.7833,85.69,57,91,7.94,overcast clouds
337,Davila,PH,18.4726,120.5763,76.78,86,93,30.49,overcast clouds
338,Tiznit,MA,29.5833,-9.5,62.24,54,35,13.11,scattered clouds
339,Batemans Bay,AU,-35.7167,150.1833,64.09,57,47,8.1,scattered clouds
